x,y,z_true,z_smooth
-0.33333333333333326,1.8333333333333335,-0.2884366140089746,-0.3244478204031285
-0.33333333333333326,2,-0.4410705581307252,-0.4851683604826796
-0.16666666666666674,-2,-0.4224404269606366,-0.47210814763456055
-0.16666666666666674,-1.8333333333333333,-0.2668250908970347,-0.3061021386521858
-0.16666666666666674,-1.6666666666666667,-0.10399457721554733,-0.13867796395064264
-0.16666666666666674,-1.5,0.061526585801491916,0.021873089352863737
-0.16666666666666674,-1.3333333333333335,0.22513997980616401,0.17529659668575823
-0.16666666666666674,-1.1666666666666665,0.3823008608937767,0.3247610422297053
-0.16666666666666674,-1,0.5286442290753179,0.4632942464240947
-0.16666666666666674,-0.8333333333333333,0.6601059071097941,0.5867288425160404
-0.16666666666666674,-0.6666666666666667,0.7730352715283837,0.691553588791834
-0.16666666666666674,-0.5,0.8642965101856617,0.7764544023209443
-0.16666666666666674,-0.33333333333333326,0.931355598825622,0.8395019406609806
-0.16666666666666674,-0.16666666666666674,0.972350585131709,0.8787668613695523
-0.16666666666666674,0,0.986143231562925,0.8923198220042688
-0.16666666666666674,0.16666666666666652,0.972350585131709,0.8788578147472471
-0.16666666666666674,0.3333333333333335,0.9313555988256219,0.8405421680924576
-0.16666666666666674,0.5,0.8642965101856617,0.7777735338984983
-0.16666666666666674,0.6666666666666665,0.7730352715283838,0.6922908348756786
-0.16666666666666674,0.8333333333333335,0.660105907109794,0.5867720623177741
-0.16666666666666674,1,0.5286442290753179,0.4634999992079798
-0.16666666666666674,1.1666666666666665,0.3823008608937767,0.32453114957046547
-0.16666666666666674,1.3333333333333335,0.22513997980616401,0.17460996023575187
-0.16666666666666674,1.5,0.061526585801491916,0.02005112839655973
-0.16666666666666674,1.6666666666666665,-0.10399457721554711,-0.1407117440497946
-0.16666666666666674,1.8333333333333335,-0.26682509089703516,-0.3080034226028625
-0.16666666666666674,2,-0.4224404269606366,-0.4736467611652242
0,-2,-0.4161468365471424,-0.46991396516052053
0,-1.8333333333333333,-0.25953145961883317,-0.3016956579854511
0,-1.6666666666666667,-0.09572354801437566,-0.13227858783828428
0,-1.5,0.0707372016677029,0.030046851108233904
0,-1.3333333333333335,0.2352375733029892,0.18524237737819
0,-1.1666666666666665,0.393218679776358,0.33525994761085137
0,-1,0.5403023058681398,0.4747945248062407
0,-0.8333333333333333,0.6724122440830568,0.5987101151942584
0,-0.6666666666666667,0.7858872607769479,0.7041899207414035
0,-0.5,0.8775825618903728,0.7894076980525986
0,-0.33333333333333326,0.9449569463147377,0.8525372037327659
0,-0.16666666666666674,0.986143231562925,0.891752194386828
0,0,1,0.9052264266197073
0,0.16666666666666652,0.986143231562925,0.8922839807202083
0,0.3333333333333335,0.9449569463147376,0.8538549551049852
0,0.5,0.8775825618903728,0.7905221335707355
0,0.6666666666666665,0.785887260776948,0.7046500916172465
0,0.8333333333333335,0.6724122440830566,0.5990089079040736
0,1,0.5403023058681398,0.474789620967568
0,1.1666666666666665,0.393218679776358,0.3350211606829876
0,1.3333333333333335,0.2352375733029892,0.184982876098558
0,1.5,0.0707372016677029,0.02924143451008197
0,1.6666666666666665,-0.09572354801437544,-0.1332652690049448
0,1.8333333333333335,-0.2595314596188334,-0.30182688758522824
0,2,-0.4161468365471424,-0.4692180762592676
0.16666666666666652,-2,-0.4224404269606366,-0.4731470981744468
0.16666666666666652,-1.8333333333333333,-0.2668250908970347,-0.30728387037622634
0.16666666666666652,-1.6666666666666667,-0.10399457721554733,-0.1398766461248075
0.16666666666666652,-1.5,0.061526585801491916,0.020943025438447768
0.16666666666666652,-1.3333333333333335,0.22513997980616401,0.1750556520819887
0.16666666666666652,-1.1666666666666665,0.3823008608937767,0.32495975951934236
0.16666666666666652,-1,0.528644229075318,0.4637290302283796
0.16666666666666652,-0.8333333333333333,0.6601059071097941,0.5870333507951059
0.16666666666666652,-0.6666666666666667,0.7730352715283837,0.6918976191805223
0.16666666666666652,-0.5,0.8642965101856618,0.7767963769173963
0.16666666666666652,-0.33333333333333326,0.931355598825622,0.8397890871987586
0.16666666666666652,-0.16666666666666674,0.972350585131709,0.8789352132176401
0.16666666666666652,0,0.986143231562925,0.8922942181670716
0.16666666666666652,0.16666666666666652,0.972350585131709,0.878721378654821
0.16666666666666652,0.3333333333333335,0.931355598825622,0.8395855598349656
0.16666666666666652,0.5,0.8642965101856618,0.7767166077199983
0.16666666666666652,0.6666666666666665,0.7730352715283839,0.691944368322412
0.16666666666666652,0.8333333333333335,0.660105907109794,0.5870986876546997
